//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
;GPIO_103;;n/c;%IX44.7;GPIOs_P9_P8
;GPIO_104;;n/c;%IX45.0;GPIOs_P9_P8
;GPIO_105;;n/c;%IX45.1;GPIOs_P9_P8
;GPIO_106;;n/c;%IX45.2;GPIOs_P9_P8
;GPIO_107;;n/c;%IX45.3;GPIOs_P9_P8
;GPIO_108;;n/c;%IX45.4;GPIOs_P9_P8
;GPIO_109;;n/c;%IX45.5;GPIOs_P9_P8
;GPIO_110;;P9 Pin 31;%IX45.6;GPIOs_P9_P8
;GPIO_111;;P9 Pin 29;%IX45.7;GPIOs_P9_P8
;GPIO_112;;P9 Pin 30;%IX46.0;GPIOs_P9_P8
;GPIO_113;;P9 Pin 28;%IX46.1;GPIOs_P9_P8
;GPIO_114;;n/c;%IX46.2;GPIOs_P9_P8
;GPIO_115;;P9 Pin 27;%IX46.3;GPIOs_P9_P8
;GPIO_116;;n/c;%IX46.4;GPIOs_P9_P8
;GPIO_117;;P9 Pin 25;%IX46.5;GPIOs_P9_P8
;GPIO_118;;n/c;%IX46.6;GPIOs_P9_P8
;GPIO_119;;n/c;%IX46.7;GPIOs_P9_P8
;GPIO_120;;n/c;%IX47.0;GPIOs_P9_P8
;GPIO_121;;n/c;%IX47.1;GPIOs_P9_P8
;GPIO_122;;n/c;%IX47.2;GPIOs_P9_P8
;GPIO_123;;n/c;%IX47.3;GPIOs_P9_P8
;GPIO_124;;n/c;%IX47.4;GPIOs_P9_P8
;GPIO_125;;n/c;%IX47.5;GPIOs_P9_P8
;GPIO_126;;n/c;%IX47.6;GPIOs_P9_P8
;GPIO_127;;n/c;%IX47.7;GPIOs_P9_P8
;digital outputs 0-31;;;%QD5;GPIOs_P9_P8
;GPIO_0@1;;n/c;%QX20.0;GPIOs_P9_P8
;GPIO_1@1;;n/c;%QX20.1;GPIOs_P9_P8
DO08;GPIO_2@1;;P9 Pin 22;%QX20.2;GPIOs_P9_P8
DO07;GPIO_3@1;;P9 Pin 21;%QX20.3;GPIOs_P9_P8
DO06;GPIO_4@1;;P9 Pin 18;%QX20.4;GPIOs_P9_P8
DO05;GPIO_5@1;;P9 Pin 17;%QX20.5;GPIOs_P9_P8
;GPIO_6@1;;n/c;%QX20.6;GPIOs_P9_P8
DO17;GPIO_7@1;;P9 Pin 42;%QX20.7;GPIOs_P9_P8
;GPIO_8@1;;P8 Pin 35;%QX21.0;GPIOs_P9_P8
;GPIO_9@1;;P8 Pin 33;%QX21.1;GPIOs_P9_P8
;GPIO_10@1;;P8 Pin 31;%QX21.2;GPIOs_P9_P8
;GPIO_11@1;;P8 Pin 32;%QX21.3;GPIOs_P9_P8
;GPIO_12@1;;n/c;%QX21.4;GPIOs_P9_P8
;GPIO_13@1;;n/c;%QX21.5;GPIOs_P9_P8
;GPIO_14@1;;P9 Pin 26;%QX21.6;GPIOs_P9_P8
;GPIO_15@1;;P9 Pin 24;%QX21.7;GPIOs_P9_P8
;GPIO_16@1;;n/c;%QX22.0;GPIOs_P9_P8
;GPIO_17@1;;n/c;%QX22.1;GPIOs_P9_P8
;GPIO_18@1;;n/c;%QX22.2;GPIOs_P9_P8
;GPIO_19@1;;n/c;%QX22.3;GPIOs_P9_P8
DO16;GPIO_20@1;;P9 Pin 41;%QX22.4;GPIOs_P9_P8
;GPIO_21@1;;n/c;%QX22.5;GPIOs_P9_P8
;GPIO_22@1;;P8 Pin 19;%QX22.6;GPIOs_P9_P8
DO21;GPIO_23@1;;P8 Pin 13;%QX22.7;GPIOs_P9_P8
;GPIO_24@1;;n/c;%QX23.0;GPIOs_P9_P8
;GPIO_25@1;;n/c;%QX23.1;GPIOs_P9_P8
DO22;GPIO_26@1;;P8 Pin 14;%QX23.2;GPIOs_P9_P8
;GPIO_27@1;;P8 Pin 17;%QX23.3;GPIOs_P9_P8
;GPIO_28@1;;n/c;%QX23.4;GPIOs_P9_P8
;GPIO_29@1;;n/c;%QX23.5;GPIOs_P9_P8
;GPIO_30@1;;P9 Pin 11;%QX23.6;GPIOs_P9_P8
;GPIO_31@1;;P9 Pin 13;%QX23.7;GPIOs_P9_P8
;digital outputs 32-63;;;%QD6;GPIOs_P9_P8
;GPIO_32@1;;P8 Pin 25;%QX24.0;GPIOs_P9_P8
;GPIO_33@1;;P8 Pin 24;%QX24.1;GPIOs_P9_P8
;GPIO_34@1;;P8 Pin 5;%QX24.2;GPIOs_P9_P8
;GPIO_35@1;;P8 Pin 6;%QX24.3;GPIOs_P9_P8
;GPIO_36@1;;P8 Pin 23;%QX24.4;GPIOs_P9_P8
;GPIO_37@1;;P8 Pin 22;%QX24.5;GPIOs_P9_P8
;GPIO_38@1;;P8 Pin 3;%QX24.6;GPIOs_P9_P8
;GPIO_39@1;;P8 Pin 4;%QX24.7;GPIOs_P9_P8
;GPIO_40@1;;n/c;%QX25.0;GPIOs_P9_P8
;GPIO_41@1;;n/c;%QX25.1;GPIOs_P9_P8
;GPIO_42@1;;n/c;%QX25.2;GPIOs_P9_P8
;GPIO_43@1;;n/c;%QX25.3;GPIOs_P9_P8
DO20;GPIO_44@1;;P8 Pin 12;%QX25.4;GPIOs_P9_P8
DO19;GPIO_45@1;;P8 Pin 11;%QX25.5;GPIOs_P9_P8
DO24;GPIO_46@1;;P8 Pin 16;%QX25.6;GPIOs_P9_P8
DO23;GPIO_47@1;;P8 Pin 15;%QX25.7;GPIOs_P9_P8
DO03;GPIO_48@1;;P9 Pin 15;%QX26.0;GPIOs_P9_P8
DO09;GPIO_49@1;;P9 Pin 23;%QX26.1;GPIOs_P9_P8
DO02;GPIO_50@1;;P9 Pin 14;%QX26.2;GPIOs_P9_P8
DO04;GPIO_51@1;;P9 Pin 16;%QX26.3;GPIOs_P9_P8
;GPIO_52@1;;n/c;%QX26.4;GPIOs_P9_P8
;GPIO_53@1;;n/c;%QX26.5;GPIOs_P9_P8
;GPIO_54@1;;n/c;%QX26.6;GPIOs_P9_P8
;GPIO_55@1;;n/c;%QX26.7;GPIOs_P9_P8
;GPIO_56@1;;n/c;%QX27.0;GPIOs_P9_P8
;GPIO_57@1;;n/c;%QX27.1;GPIOs_P9_P8
;GPIO_58@1;;n/c;%QX27.2;GPIOs_P9_P8
;GPIO_59@1;;n/c;%QX27.3;GPIOs_P9_P8
DO01;GPIO_60@1;;P9 Pin 12;%QX27.4;GPIOs_P9_P8
